"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","02.01.2025 02:45 - 02.01.2025 03:00 (CET/CEST)","364","0","0","5968","276","8","0","0","0","0","2072","820","824","0","7120","12","64","4","176","0","5552"
"CTA|ES","02.01.2025 03:00 - 02.01.2025 03:15 (CET/CEST)","360","0","0","5800","276","8","0","0","0","0","2072","808","776","0","7120","12","64","4","180","0","5620"
"CTA|ES","02.01.2025 03:15 - 02.01.2025 03:30 (CET/CEST)","356","0","0","5872","256","8","0","0","0","0","2068","796","820","0","7120","12","64","4","180","0","5672"
"CTA|ES","02.01.2025 03:30 - 02.01.2025 03:45 (CET/CEST)","356","0","0","5636","248","8","0","0","0","0","2068","784","808","0","7120","12","64","4","180","0","5696"
"CTA|ES","02.01.2025 03:45 - 02.01.2025 04:00 (CET/CEST)","356","0","0","5432","248","8","0","0","0","0","2068","800","756","0","7120","8","64","4","180","0","5708"
"CTA|ES","02.01.2025 04:00 - 02.01.2025 04:15 (CET/CEST)","356","0","0","5416","248","8","0","0","0","0","2100","796","752","0","7120","8","64","4","180","0","5660"
"CTA|ES","02.01.2025 04:15 - 02.01.2025 04:30 (CET/CEST)","360","0","0","5600","248","8","0","0","0","0","2324","792","788","0","7120","8","64","4","176","0","5612"
"CTA|ES","02.01.2025 04:30 - 02.01.2025 04:45 (CET/CEST)","360","0","0","5432","248","8","0","0","0","0","2308","780","764","0","7120","8","64","8","172","0","5584"
"CTA|ES","02.01.2025 04:45 - 02.01.2025 05:00 (CET/CEST)","356","0","0","5420","248","8","0","0","0","0","2200","788","760","0","7120","8","64","12","172","0","5644"
"CTA|ES","02.01.2025 05:00 - 02.01.2025 05:15 (CET/CEST)","360","0","0","5396","248","12","0","0","0","0","2200","780","764","0","7120","12","64","12","172","0","5664"
"CTA|ES","02.01.2025 05:15 - 02.01.2025 05:30 (CET/CEST)","360","0","0","5436","264","12","0","0","0","0","2272","780","828","0","7120","8","64","16","172","0","5700"
"CTA|ES","02.01.2025 05:30 - 02.01.2025 05:45 (CET/CEST)","352","0","0","5452","268","12","0","0","0","0","2184","780","824","0","7116","12","64","20","168","0","5796"
"CTA|ES","02.01.2025 05:45 - 02.01.2025 06:00 (CET/CEST)","352","0","0","5632","268","12","0","0","0","0","2088","784","872","0","7116","8","60","20","172","0","5824"
"CTA|ES","02.01.2025 06:00 - 02.01.2025 06:15 (CET/CEST)","352","0","0","5848","268","12","0","0","0","0","1840","788","876","0","7116","8","60","20","172","0","5872"
"CTA|ES","02.01.2025 06:15 - 02.01.2025 06:30 (CET/CEST)","348","0","0","5564","288","12","0","0","0","44","1272","780","1000","0","7116","8","64","20","172","0","5988"
"CTA|ES","02.01.2025 06:30 - 02.01.2025 06:45 (CET/CEST)","352","0","0","5648","308","12","0","0","0","60","664","796","1184","0","7116","8","60","20","172","0","5984"
"CTA|ES","02.01.2025 06:45 - 02.01.2025 07:00 (CET/CEST)","344","0","0","5988","316","12","0","0","0","64","452","804","1212","0","7116","8","60","20","172","0","5932"
"CTA|ES","02.01.2025 07:00 - 02.01.2025 07:15 (CET/CEST)","348","0","0","6316","332","12","0","0","0","108","232","812","1244","0","7116","8","60","20","172","0","5876"
"CTA|ES","02.01.2025 07:15 - 02.01.2025 07:30 (CET/CEST)","348","0","0","5992","356","12","0","0","0","604","220","812","1692","0","7116","8","60","20","172","0","5928"
"CTA|ES","02.01.2025 07:30 - 02.01.2025 07:45 (CET/CEST)","344","0","0","6200","412","16","0","0","0","460","204","824","2220","0","7116","8","60","20","172","0","6040"
